Marist,2514,Quinnipiac,2368
6:33,2514,Daniel Harris missed Three Point Jumper.,55,65
6:33,2368,Ryan Funk Defensive Rebound.,55,65
6:13,2368,Khallid Hart made Jumper.,57,65
6:13,2368,Marist  Timeout,57,65
5:55,2514,Peter Kiss missed Three Point Jumper.,57,65
5:55,2514,Chaise Daniels Offensive Rebound.,57,65
5:46,2514,Alain Chigha made Layup.,57,67
5:28,2368,Tobias Sjoberg Turnover.,57,67
5:27,2514,Chaise Daniels Steal.,57,67
5:13,2514,Reggie Oliver missed Three Point Jumper.,57,67
5:13,2514,Peter Kiss Offensive Rebound.,57,67
5:03,2514,Daniel Harris made Jumper.,57,69
4:49,2368,Khallid Hart made Layup.,59,69
4:28,2514,Peter Kiss missed Three Point Jumper.,59,69
4:28,2514,Alain Chigha Offensive Rebound.,59,69
4:10,2368,Foul on Tobias Sjoberg.,59,69
4:10,2514,Chaise Daniels made Free Throw.,59,70
4:10,2514,Chaise Daniels made Free Throw.,59,71
4:00,2514,Foul on Daniel Harris.,59,71
4:00,2368,Khallid Hart missed Free Throw.,59,71
4:00,2368,Marist Deadball Team Rebound.,59,71
4:00,2368,Khallid Hart missed Free Throw.,59,71
4:00,2514,Reggie Oliver Defensive Rebound.,59,71
3:45,2368,Foul on Kentrall Brooks.,59,71
3:45,2514,Chaise Daniels made Free Throw.,59,72
3:45,2514,Chaise Daniels missed Free Throw.,59,72
3:45,2368,David Knudsen Defensive Rebound.,59,72
3:23,2368,David Knudsen missed Three Point Jumper.,59,72
3:23,2514,Reggie Oliver Defensive Rebound.,59,72
3:15,2368,Foul on Brian Parker.,59,72
3:15,2514,Alain Chigha made Free Throw.,59,73
3:15,2514,Alain Chigha made Free Throw.,59,74
3:00,2368,Kentrall Brooks missed Jumper.,59,74
3:00,2514,Reggie Oliver Defensive Rebound.,59,74
2:31,2514,Peter Kiss missed Jumper.,59,74
2:31,2514,Reggie Oliver Offensive Rebound.,59,74
2:22,2514,Peter Kiss made Jumper.,59,76
2:08,2368,Brian Parker missed Jumper.,59,76
2:08,2368,Marist Offensive Rebound.,59,76
1:59,2368,Ryan Funk made Layup.,61,76
1:57,2368,Marist  Timeout,61,76
1:29,2514,Daniel Harris missed Three Point Jumper.,61,76
1:29,2368,Isaiah Lamb Defensive Rebound.,61,76
1:21,2368,Ryan Funk missed Three Point Jumper.,61,76
1:21,2514,Daniel Harris Defensive Rebound.,61,76
0:48,2514,Peter Kiss missed Three Point Jumper.,61,76
0:48,2368,Brian Parker Defensive Rebound.,61,76
0:32,2368,Khallid Hart made Layup.,63,76
0:31,2368,Marist  Timeout,63,76
0:31,2368,Foul on Ryan Funk.,63,76
0:31,2514,Mikey Dixon missed Free Throw.,63,76
0:31,2514,Ja'Kwan Jones Offensive Rebound.,63,76
0:28,2368,Foul on Brian Parker.,63,76
0:28,2514,Ja'Kwan Jones missed Free Throw.,63,76
0:28,2514,Quinnipiac Deadball Team Rebound.,63,76
0:28,2514,Ja'Kwan Jones made Free Throw.,63,77
0:20,2368,Khallid Hart missed Three Point Jumper.,63,77
0:20,2514,Ja'Kwan Jones Defensive Rebound.,63,77
0:19,2514,Ja'Kwan Jones Turnover.,63,77
0:19,2368,Ryan Funk Steal.,63,77
0:15,2368,Foul on Ryan Funk.,63,77
0:15,2368,Ryan Funk Turnover.,63,77
0:00,2514,End of Game,63,77
