Savannah State,245,Texas A&amp;M,2542
15:42,2542,Savannah State Defensive Rebound.,38,64
15:39,245,Official TV Timeout,38,64
15:12,2542,Alante Fenner missed Three Point Jumper.,38,64
15:12,2542,Javaris Jenkins Offensive Rebound.,38,64
15:08,2542,Javaris Jenkins made Layup.,40,64
14:47,245,Duane Wilson made Three Point Jumper. Assisted by Tyler Davis.,40,67
14:28,2542,Maricus Glenn Turnover.,40,67
14:16,245,Duane Wilson missed Three Point Jumper.,40,67
14:16,245,Tyler Davis Offensive Rebound.,40,67
13:58,245,Duane Wilson Turnover.,40,67
13:57,2542,Jahir Cabeza Steal.,40,67
13:54,2542,Ralueke Orizu made Dunk. Assisted by Alante Fenner.,42,67
13:35,245,Admon Gilder made Layup.,42,69
13:29,2542,Javaris Jenkins made Three Point Jumper.,45,69
13:13,245,DJ Hogg made Three Point Jumper. Assisted by Tonny Trocha-Morelos.,45,72
12:42,2542,Jahir Cabeza missed Layup.,45,72
12:42,245,Tyler Davis Defensive Rebound.,45,72
12:36,245,Admon Gilder Turnover.,45,72
12:30,2542,Ty'lik Evans missed Three Point Jumper.,45,72
12:30,245,Texas A&M Defensive Rebound.,45,72
12:00,245,Savion Flagg missed Layup.,45,72
12:00,245,Tonny Trocha-Morelos Offensive Rebound.,45,72
11:54,245,Tonny Trocha-Morelos made Two Point Tip Shot.,45,74
11:44,2542,John Grant Jr. missed Three Point Jumper.,45,74
11:44,245,Tonny Trocha-Morelos Defensive Rebound.,45,74
11:33,245,TJ Starks missed Three Point Jumper.,45,74
11:33,245,Tonny Trocha-Morelos Offensive Rebound.,45,74
11:27,245,Tonny Trocha-Morelos made Two Point Tip Shot.,45,76
11:11,2542,Ty'lik Evans missed Three Point Jumper.,45,76
11:11,245,TJ Starks Defensive Rebound.,45,76
11:01,245,JJ Caldwell missed Layup.,45,76
11:01,245,JJ Caldwell Offensive Rebound.,45,76
10:57,245,JJ Caldwell made Two Point Tip Shot.,45,78
10:51,2542,John Grant Jr. missed Three Point Jumper.,45,78
10:51,245,Tonny Trocha-Morelos Defensive Rebound.,45,78
10:43,245,DJ Hogg made Three Point Jumper. Assisted by TJ Starks.,45,81
10:30,2542,Ty'lik Evans Turnover.,45,81
10:26,245,TJ Starks made Three Point Jumper. Assisted by JJ Caldwell.,45,84
10:13,2542,Savannah State  Timeout,45,84
10:04,2542,John Grant Jr. missed Jumper.,45,84
10:04,245,Savion Flagg Block.,45,84
10:01,245,Tonny Trocha-Morelos Defensive Rebound.,45,84
9:58,245,Jay Jay Chandler missed Three Point Jumper.,45,84
9:58,2542,Maricus Glenn Defensive Rebound.,45,84
9:51,245,Official TV Timeout,45,84
9:29,2542,Dexter McClanahan made Three Point Jumper. Assisted by Alante Fenner.,48,84
9:11,245,Savion Flagg made Layup. Assisted by Jay Jay Chandler.,48,86
8:58,2542,Zach Sellers missed Jumper.,48,86
8:58,245,Savion Flagg Defensive Rebound.,48,86
8:43,245,TJ Starks Turnover.,48,86
8:42,2542,Alante Fenner Steal.,48,86
8:40,2542,Alante Fenner missed Layup.,48,86
8:40,245,Jay Jay Chandler Block.,48,86
8:40,2542,Savannah State Offensive Rebound.,48,86
8:39,2542,Alante Fenner missed Layup.,48,86
8:39,245,Tonny Trocha-Morelos Block.,48,86
8:37,245,Tonny Trocha-Morelos Defensive Rebound.,48,86
8:35,245,Tonny Trocha-Morelos Turnover.,48,86
8:33,2542,Dexter McClanahan Steal.,48,86
8:32,2542,Dexter McClanahan missed Jumper.,48,86
8:32,245,TJ Starks Defensive Rebound.,48,86
8:13,245,Jay Jay Chandler missed Layup.,48,86
8:13,245,JJ Caldwell Offensive Rebound.,48,86
8:08,2542,Foul on Maricus Glenn.,48,86
8:08,245,JJ Caldwell made Free Throw.,48,87
8:08,245,JJ Caldwell missed Free Throw.,48,87
8:08,2542,Dexter McClanahan Defensive Rebound.,48,87
8:01,2542,Maricus Glenn missed Layup.,48,87
8:01,245,Savion Flagg Defensive Rebound.,48,87
7:54,245,Jay Jay Chandler made Dunk. Assisted by JJ Caldwell.,48,89
7:37,2542,Zach Sellers made Jumper.,50,89
7:08,245,Chris Collins made Three Point Jumper. Assisted by Jay Jay Chandler.,50,92
6:59,245,Foul on TJ Starks.,50,92
6:59,245,Official TV Timeout,50,92
6:41,245,Foul on Jay Jay Chandler.,50,92
6:40,2542,Isaiah Felder missed Three Point Jumper.,50,92
6:40,2542,Javaris Jenkins Offensive Rebound.,50,92
6:36,2542,Javaris Jenkins made Layup.,52,92
6:16,245,TJ Starks made Three Point Jumper. Assisted by JJ Caldwell.,52,95
6:03,2542,Zach Sellers made Dunk.,54,95
5:55,245,Chris Collins missed Three Point Jumper.,54,95
5:55,245,Jay Jay Chandler Offensive Rebound.,54,95
5:47,245,TJ Starks made Three Point Jumper. Assisted by Jay Jay Chandler.,54,98
5:37,2542,Zach Sellers Turnover.,54,98
5:36,245,JJ Caldwell Steal.,54,98
5:34,245,Jay Jay Chandler missed Dunk.,54,98
5:34,245,Chris Collins Offensive Rebound.,54,98
5:28,245,Chris Collins missed Layup.,54,98
5:28,2542,Javaris Jenkins Block.,54,98
5:27,2542,Ralueke Orizu Defensive Rebound.,54,98
5:20,2542,Foul on Isaiah Felder.,54,98
5:17,245,Foul on Savion Flagg.,54,98
5:15,2542,Ralueke Orizu missed Dunk.,54,98
5:15,245,TJ Starks Defensive Rebound.,54,98
4:56,245,TJ Starks missed Three Point Jumper.,54,98
4:56,2542,Savannah State Defensive Rebound.,54,98
4:47,2542,Dexter McClanahan made Layup. Assisted by Javaris Jenkins.,56,98
4:30,245,Savion Flagg made Dunk. Assisted by JJ Caldwell.,56,100
4:27,2542,Javaris Jenkins missed Three Point Jumper.,56,100
4:27,2542,Alante Fenner Offensive Rebound.,56,100
4:24,2542,Dexter McClanahan Turnover.,56,100
4:22,245,Jay Jay Chandler Steal.,56,100
4:06,245,JJ Caldwell made Jumper.,56,102
3:56,2542,Alante Fenner made Layup.,58,102
3:30,245,Chris Collins made Three Point Jumper. Assisted by Savion Flagg.,58,105
3:21,2542,Alante Fenner missed Three Point Jumper.,58,105
3:21,2542,Dexter McClanahan Offensive Rebound.,58,105
3:17,2542,Dexter McClanahan missed Three Point Jumper.,58,105
3:17,245,TJ Starks Defensive Rebound.,58,105
3:09,245,Jay Jay Chandler made Layup. Assisted by TJ Starks.,58,107
3:02,245,Foul on TJ Starks.,58,107
3:02,245,Official TV Timeout,58,107
2:42,2542,Chris Dubose made Three Point Jumper. Assisted by Isaiah Felder.,61,107
2:20,245,Savion Flagg made Layup. Assisted by Chris Collins.,61,109
2:20,2542,Foul on Ralueke Orizu.,61,109
2:20,245,Savion Flagg missed Free Throw.,61,109
2:20,2542,Ralueke Orizu Defensive Rebound.,61,109
2:12,2542,Ralueke Orizu Turnover.,61,109
2:10,245,Chris Collins Steal.,61,109
2:08,245,Mark French missed Three Point Jumper.,61,109
2:08,245,Savion Flagg Offensive Rebound.,61,109
1:52,245,Chris Collins made Layup. Assisted by Savion Flagg.,61,111
1:51,245,Foul on Jay Jay Chandler.,61,111
1:51,2542,Jahir Cabeza missed Free Throw.,61,111
1:51,2542,Savannah State Deadball Team Rebound.,61,111
1:51,2542,Jahir Cabeza made Free Throw.,62,111
1:33,245,Jay Jay Chandler missed Jumper.,62,111
1:33,2542,Jahir Cabeza Defensive Rebound.,62,111
1:27,245,Foul on Savion Flagg.,62,111
1:27,2542,Jahir Cabeza missed Free Throw.,62,111
1:27,245,Savion Flagg Defensive Rebound.,62,111
1:17,245,Mark French missed Layup.,62,111
1:17,2542,Alante Fenner Defensive Rebound.,62,111
1:14,245,Foul on Mark French.,62,111
1:14,2542,Alante Fenner made Free Throw.,63,111
1:14,2542,Alante Fenner made Free Throw.,64,111
1:07,245,Savion Flagg missed Dunk.,64,111
1:07,245,Chris Collins Offensive Rebound.,64,111
1:02,245,Chris Collins made Layup.,64,113
0:59,2542,Isaiah Felder missed Three Point Jumper.,64,113
0:59,245,Chris Collins Defensive Rebound.,64,113
0:48,245,Mark French missed Three Point Jumper.,64,113
0:48,2542,Jahir Cabeza Block.,64,113
0:45,2542,Savannah State Defensive Rebound.,64,113
0:40,2542,Alante Fenner Turnover.,64,113
0:38,245,Cameron Alo Steal.,64,113
0:28,245,Chris Collins missed Three Point Jumper.,64,113
0:28,2542,Jahir Cabeza Block.,64,113
0:24,245,Frank Byers Offensive Rebound.,64,113
0:15,245,Frank Byers missed Three Point Jumper.,64,113
0:15,2542,Alante Fenner Defensive Rebound.,64,113
0:08,2542,Ralueke Orizu made Layup. Assisted by Isaiah Felder.,66,113
0:00,245,End of Game,66,113
