Hartford,164,Rutgers,42
5:24,164,Deshawn Freeman Defensive Rebound.,50,45
5:17,164,Mike Williams made Three Point Jumper. Assisted by Geo Baker.,50,48
4:51,42,Jason Dunne missed Three Point Jumper.,50,48
4:51,164,Mike Williams Defensive Rebound.,50,48
4:32,164,Deshawn Freeman Turnover.,50,48
4:04,164,Foul on Candido Sa.,50,48
4:04,42,Hassan Attia missed Free Throw.,50,48
4:04,42,Hartford Deadball Team Rebound.,50,48
4:04,42,Hassan Attia made Free Throw.,51,48
3:51,164,Corey Sanders made Jumper.,51,50
3:28,42,J.R. Lynch made Layup.,53,50
3:12,164,Mike Williams made Layup.,53,52
2:47,42,J.R. Lynch missed Layup.,53,52
2:47,164,Corey Sanders Block.,53,52
2:47,164,Corey Sanders Defensive Rebound.,53,52
2:39,164,Mike Williams made Three Point Jumper. Assisted by Corey Sanders.,53,55
2:34,164,Rutgers  Timeout,53,55
2:34,164,Official TV Timeout,53,55
2:05,42,Hassan Attia made Dunk. Assisted by J.R. Lynch.,55,55
2:05,164,Foul on Geo Baker.,55,55
2:05,42,Hassan Attia missed Free Throw.,55,55
2:05,164,Mike Williams Defensive Rebound.,55,55
1:50,164,Deshawn Freeman missed Layup.,55,55
1:50,42,Hassan Attia Block.,55,55
1:49,42,J.R. Lynch Defensive Rebound.,55,55
1:41,42,J.R. Lynch made Jumper.,57,55
1:27,164,Foul on Eugene Omoruyi.,57,55
1:27,164,Eugene Omoruyi Turnover.,57,55
1:11,42,John Carroll made Layup.,59,55
0:47,42,Foul on Hassan Attia.,59,55
0:47,164,Corey Sanders made Free Throw.,59,56
0:47,164,Corey Sanders made Free Throw.,59,57
0:47,164,Corey Sanders made Free Throw.,59,58
0:41,42,Hartford  Timeout,59,58
0:28,42,John Carroll missed Jumper.,59,58
0:28,164,Mike Williams Defensive Rebound.,59,58
0:14,164,Corey Sanders missed Jumper.,59,58
0:14,164,Eugene Omoruyi Offensive Rebound.,59,58
0:14,164,Rutgers  Timeout,59,58
0:02,164,Foul on Geo Baker.,59,58
0:02,42,Jason Dunne made Free Throw.,60,58
0:02,42,Jason Dunne missed Free Throw.,60,58
0:02,164,Mike Williams Defensive Rebound.,60,58
0:00,164,End of Game,60,58
