Benedictine (AZ),3084,Utah Valley,110031
14:49,3084,Isaac Neilson Block.,34,59
14:48,3084,Isaac Neilson Defensive Rebound.,34,59
14:45,-1,Foul on Nate Mcanally.,34,59
14:44,-1,Foul on Troy Conley.,34,59
14:44,3084,Brandon Randolph Turnover.,34,59
14:43,-1,Troy Conley Steal.,34,59
14:39,-1,Monnard Brown missed Layup.,34,59
14:39,-1,Jorge Cano Offensive Rebound.,34,59
14:31,3084,Foul on Zach Nelson.,34,59
14:21,-1,Brandon Dixon Turnover.,34,59
14:21,-1,Foul on Brandon Dixon.,34,59
14:11,-1,Foul on Monnard Brown.,34,59
14:07,3084,Isaac Neilson made Dunk. Assisted by Brandon Randolph.,34,61
13:44,-1,Carter Aby Turnover.,34,61
13:43,3084,Zach Nelson Steal.,34,61
13:40,3084,Conner Toolson made Layup.,34,63
13:28,-1,Nate Mcanally missed Jumper.,34,63
13:28,3084,Brandon Randolph Defensive Rebound.,34,63
13:20,3084,Conner Toolson missed Three Point Jumper.,34,63
13:20,3084,Isaac Neilson Offensive Rebound.,34,63
13:16,3084,Isaac Neilson missed Layup.,34,63
13:16,-1,Jorge Cano Block.,34,63
13:15,3084,Isaac Neilson Offensive Rebound.,34,63
13:13,3084,Isaac Neilson made Layup.,34,65
13:00,-1,Jorge Cano missed Layup.,34,65
13:00,-1,Jorge Cano Offensive Rebound.,34,65
12:59,-1,Jorge Cano missed Layup.,34,65
12:59,3084,Isaac Neilson Block.,34,65
12:52,-1,Troy Conley Offensive Rebound.,34,65
12:35,-1,Jorge Cano made Layup.,36,65
12:18,-1,Foul on Carter Aby.,36,65
12:17,3084,Zach Nelson made Free Throw.,36,66
12:17,3084,Zach Nelson missed Free Throw.,36,66
12:17,-1,Jorge Cano Defensive Rebound.,36,66
12:17,3084,Foul on Jared Stutzman.,36,66
11:55,-1,Richie Thornton V made Layup.,38,66
11:42,3084,Conner Toolson missed Three Point Jumper.,38,66
11:42,-1,Jorge Cano Defensive Rebound.,38,66
11:23,-1,Richie Thornton V Turnover.,38,66
11:22,3084,Kenneth Ogbe Steal.,38,66
11:17,3084,Brandon Randolph missed Three Point Jumper.,38,66
11:17,-1,Matt Drannbauer Defensive Rebound.,38,66
10:52,-1,Joe Baldi Turnover.,38,66
10:51,3084,Brandon Randolph Steal.,38,66
10:44,3084,Jared Stutzman missed Three Point Jumper.,38,66
10:44,-1,Devin White Defensive Rebound.,38,66
10:38,-1,Devin White missed Layup.,38,66
10:38,3084,Brandon Randolph Defensive Rebound.,38,66
10:26,3084,Conner Toolson made Three Point Jumper. Assisted by Brandon Randolph.,38,69
10:10,-1,Devin White Turnover.,38,69
10:10,-1,Foul on Devin White.,38,69
10:10,3084,Official TV Timeout,38,69
10:00,3084,Conner Toolson missed Three Point Jumper.,38,69
10:00,3084,Joonas Tahvanainen Offensive Rebound.,38,69
9:57,3084,Joonas Tahvanainen missed Layup.,38,69
9:57,-1,Matt Drannbauer Block.,38,69
9:55,3084,Conner Toolson Offensive Rebound.,38,69
9:51,3084,Conner Toolson missed Layup.,38,69
9:51,-1,Brandon Dixon Defensive Rebound.,38,69
9:43,-1,Brandon Dixon missed Three Point Jumper.,38,69
9:43,3084,Joonas Tahvanainen Defensive Rebound.,38,69
9:34,3084,Jared Stutzman made Three Point Jumper. Assisted by Ivory Young.,38,72
9:24,-1,Devin White made Layup. Assisted by Nate Mcanally.,40,72
9:13,3084,Joonas Tahvanainen missed Layup.,40,72
9:13,-1,Brandon Dixon Defensive Rebound.,40,72
8:55,-1,Brandon Dixon Turnover.,40,72
8:47,3084,Jared Stutzman missed Three Point Jumper.,40,72
8:47,-1,Richie Thornton V Defensive Rebound.,40,72
8:31,-1,Jorge Cano Turnover.,40,72
8:31,-1,Foul on Jorge Cano.,40,72
8:13,-1,Foul on Devin White.,40,72
8:13,3084,Jared Stutzman made Free Throw.,40,73
8:13,3084,Jared Stutzman made Free Throw.,40,74
8:01,-1,Nate Mcanally missed Jumper.,40,74
8:01,3084,Jared Stutzman Defensive Rebound.,40,74
7:56,3084,Hayden Schenck Turnover.,40,74
7:56,3084,Official TV Timeout,40,74
7:39,-1,Brandon Dixon made Jumper. Assisted by Richie Thornton V.,42,74
7:20,3084,Jordan Poydras made Layup.,42,76
7:06,-1,Troy Conley made Jumper.,44,76
6:46,3084,Ivory Young missed Layup.,44,76
6:46,-1,Benedictine (AZ) Defensive Rebound.,44,76
6:33,-1,Troy Conley missed Three Point Jumper.,44,76
6:33,3084,Isaac Neilson Defensive Rebound.,44,76
6:29,-1,Foul on Jorge Cano.,44,76
6:29,3084,Isaac Neilson made Free Throw.,44,77
6:29,3084,Isaac Neilson missed Free Throw.,44,77
6:29,-1,Carter Aby Defensive Rebound.,44,77
6:12,-1,Troy Conley Turnover.,44,77
6:11,3084,Isaac Neilson Steal.,44,77
6:02,-1,Foul on Carter Aby.,44,77
6:02,3084,Jared Stutzman made Free Throw.,44,78
6:02,3084,Jared Stutzman made Free Throw.,44,79
5:43,-1,Spencer Perry Turnover.,44,79
5:42,3084,Joonas Tahvanainen Steal.,44,79
5:38,3084,Joonas Tahvanainen made Layup. Assisted by Ivory Young.,44,81
5:26,-1,Matt Drannbauer made Layup. Assisted by Spencer Perry.,46,81
5:10,-1,Foul on Troy Conley.,46,81
5:10,3084,Telly Davenport made Free Throw.,46,82
5:10,3084,Telly Davenport missed Free Throw.,46,82
5:10,-1,Nate Mcanally Defensive Rebound.,46,82
5:02,-1,Monnard Brown missed Layup.,46,82
5:02,3084,Jared Stutzman Defensive Rebound.,46,82
4:54,3084,Telly Davenport made Dunk.,46,84
4:41,-1,Troy Conley made Three Point Jumper. Assisted by Spencer Perry.,49,84
4:19,3084,Jordan Poydras missed Three Point Jumper.,49,84
4:19,-1,Monnard Brown Defensive Rebound.,49,84
4:04,-1,Troy Conley missed Three Point Jumper.,49,84
4:04,3084,Jordan Poydras Defensive Rebound.,49,84
3:56,3084,Jared Stutzman missed Three Point Jumper.,49,84
3:56,3084,Jordan Poydras Offensive Rebound.,49,84
3:50,3084,Joonas Tahvanainen made Layup. Assisted by Telly Davenport.,49,86
3:30,-1,Monnard Brown made Layup.,51,86
3:14,-1,Foul on Monnard Brown.,51,86
3:14,3084,Technical Foul on Jordan Poydras.,51,86
3:14,3084,Foul on Jordan Poydras.,51,86
3:14,3084,Official TV Timeout,51,86
3:14,-1,Troy Conley missed Free Throw.,51,86
3:14,-1,Benedictine (AZ) Deadball Team Rebound.,51,86
3:14,-1,Troy Conley made Free Throw.,52,86
3:14,3084,Telly Davenport missed Free Throw.,52,86
3:14,3084,Utah Valley Deadball Team Rebound.,52,86
3:14,3084,Telly Davenport missed Free Throw.,52,86
3:14,3084,Utah Valley Deadball Team Rebound.,52,86
3:11,3084,Ivory Young Turnover.,52,86
3:11,3084,Foul on Ivory Young.,52,86
3:06,-1,Dustin Troutt Turnover.,52,86
3:05,3084,Jordan Poydras Steal.,52,86
3:03,3084,Jordan Poydras missed Dunk.,52,86
3:03,-1,Joe Baldi Defensive Rebound.,52,86
2:51,-1,Troy Conley missed Three Point Jumper.,52,86
2:51,3084,Jared Stutzman Defensive Rebound.,52,86
2:44,3084,Joonas Tahvanainen missed Layup.,52,86
2:44,-1,Matt Drannbauer Defensive Rebound.,52,86
2:23,-1,Dustin Troutt missed Three Point Jumper.,52,86
2:23,3084,Jordan Poydras Defensive Rebound.,52,86
2:15,3084,Jared Stutzman missed Three Point Jumper.,52,86
2:15,-1,Dustin Troutt Defensive Rebound.,52,86
1:59,-1,Joe Baldi missed Jumper.,52,86
1:59,3084,Joonas Tahvanainen Defensive Rebound.,52,86
1:39,3084,Jared Stutzman missed Three Point Jumper.,52,86
1:39,3084,Jared Stutzman Offensive Rebound.,52,86
1:18,3084,Ivory Young missed Three Point Jumper.,52,86
1:18,-1,Joe Baldi Defensive Rebound.,52,86
1:04,-1,Troy Conley missed Jumper.,52,86
1:04,3084,Joonas Tahvanainen Defensive Rebound.,52,86
0:44,3084,Telly Davenport missed Three Point Jumper.,52,86
0:44,-1,Spencer Perry Defensive Rebound.,52,86
0:20,-1,Matt Drannbauer missed Jumper.,52,86
0:20,3084,Jared Stutzman Defensive Rebound.,52,86
0:00,3084,End of Game,52,86
