Toledo,2750,Wright State,2649
4:15,2649,Jonathan Williams made Layup. Assisted by Jordan Lauf.,70,72
4:01,2750,Mark Alstork made Layup.,70,74
3:38,2649,Steve Taylor Jr. made Layup. Assisted by Jonathan Williams.,72,74
3:15,2750,Mark Alstork Turnover.,72,74
3:15,2649,Jordan Lauf Steal.,72,74
3:15,2750,Official TV Timeout,72,74
3:05,2649,Jonathan Williams missed Three Point Jumper.,72,74
3:05,2750,Grant Benzinger Defensive Rebound.,72,74
2:50,2750,Steven Davis missed Jumper.,72,74
2:50,2649,Jordan Lauf Defensive Rebound.,72,74
2:38,2649,Jaelan Sanford missed Jumper.,72,74
2:38,2750,Mark Alstork Defensive Rebound.,72,74
2:11,2750,Mark Alstork missed Three Point Jumper.,72,74
2:11,2649,Steve Taylor Jr. Defensive Rebound.,72,74
1:44,2750,Foul on Justin Mitchell.,72,74
1:44,2750,Wright St  Timeout,72,74
1:44,2649,Jonathan Williams made Free Throw.,73,74
1:44,2649,Jonathan Williams made Free Throw.,74,74
1:31,2649,Foul on Jordan Lauf.,74,74
1:31,2750,Mark Alstork made Free Throw.,74,75
1:31,2750,Mark Alstork made Free Throw.,74,76
1:07,2649,Jonathan Williams made Three Point Jumper.,77,76
0:53,2750,Justin Mitchell missed Jumper.,77,76
0:53,2649,Jaelan Sanford Defensive Rebound.,77,76
0:35,2649,Toledo  Timeout,77,76
0:32,2750,Foul on Mark Alstork.,77,76
0:32,2649,Jaelan Sanford made Free Throw.,78,76
0:32,2649,Jaelan Sanford made Free Throw.,79,76
0:22,2750,Mark Alstork missed Layup.,79,76
0:22,2649,Jordan Lauf Defensive Rebound.,79,76
0:18,2750,Foul on Grant Benzinger.,79,76
0:18,2649,Jonathan Williams made Free Throw.,80,76
0:18,2649,Jonathan Williams made Free Throw.,81,76
0:12,2750,Grant Benzinger missed Three Point Jumper.,81,76
0:12,2649,Jonathan Williams Defensive Rebound.,81,76
0:09,2750,Foul on Mark Hughes.,81,76
0:09,2649,Jonathan Williams missed Free Throw.,81,76
0:09,2649,Toledo Deadball Team Rebound.,81,76
0:09,2649,Jonathan Williams missed Free Throw.,81,76
0:09,2750,Justin Mitchell Defensive Rebound.,81,76
0:04,2750,Mark Alstork made Jumper.,81,78
0:02,2750,Wright St  Timeout,81,78
0:02,2750,Foul on Justin Mitchell.,81,78
0:02,2649,Nate Navigato made Free Throw.,82,78
0:02,2649,Nate Navigato missed Free Throw.,82,78
0:02,2750,Mark Alstork Defensive Rebound.,82,78
0:00,2750,End of Game,82,78
