Chicago State,2473,Oakland,2130
9:53,2473,Martez Walker missed Three Point Jumper.,62,79
9:53,2130,Glen Burns Defensive Rebound.,62,79
9:46,2130,Glen Burns missed Layup.,62,79
9:46,2130,Patrick Szpir Offensive Rebound.,62,79
9:42,2130,Patrick Szpir missed Jumper.,62,79
9:42,2473,Martez Walker Defensive Rebound.,62,79
9:30,2473,Martez Walker missed Three Point Jumper.,62,79
9:30,2130,Trayvon Palmer Defensive Rebound.,62,79
9:22,2130,Clemmye Owens V missed Three Point Jumper.,62,79
9:22,2473,Martez Walker Block.,62,79
9:18,2473,Isaiah Brock Defensive Rebound.,62,79
9:13,2473,Nick Daniels missed Three Point Jumper.,62,79
9:13,2130,Chicago St Defensive Rebound.,62,79
8:59,2130,Patrick Szpir missed Jumper.,62,79
8:59,2473,Sherron Dorsey-Walker Defensive Rebound.,62,79
8:42,2473,Isaiah Brock made Dunk. Assisted by Jalen Hayes.,62,81
8:32,2473,Foul on Isaiah Brock.,62,81
8:32,2130,Clemmye Owens V made Free Throw.,63,81
8:32,2130,Clemmye Owens V made Free Throw.,64,81
8:24,2473,Xavier Hill-Mais made Jumper. Assisted by Martez Walker.,64,83
8:24,2130,Foul on Clemmye Owens V.,64,83
8:24,2473,Xavier Hill-Mais made Free Throw.,64,84
8:07,2130,Joshua Batson missed Jumper.,64,84
8:07,2473,Stevie Clark Defensive Rebound.,64,84
7:54,2473,Official TV Timeout,64,84
7:53,2473,Martez Walker Turnover.,64,84
7:51,2130,Brian Greene Jr. Steal.,64,84
7:48,2130,Joshua Batson made Layup. Assisted by Brian Greene Jr..,66,84
7:38,2473,Stevie Clark made Layup.,66,86
7:20,2473,Foul on Jalen Hayes.,66,86
7:16,2130,Fred Sims Jr. made Jumper.,68,86
7:08,2473,Martez Walker made Three Point Jumper. Assisted by Stevie Clark.,68,89
6:51,2130,Fred Sims Jr. missed Three Point Jumper.,68,89
6:51,2473,Xavier Hill-Mais Defensive Rebound.,68,89
6:27,2473,Xavier Hill-Mais made Jumper. Assisted by Stevie Clark.,68,91
6:08,2130,Delundre Dixon made Layup.,70,91
6:08,2473,Foul on Jalen Hayes.,70,91
6:08,2130,Delundre Dixon missed Free Throw.,70,91
6:08,2473,Oakland Defensive Rebound.,70,91
6:06,2130,Foul on Trayvon Palmer.,70,91
5:58,2473,Jalen Hayes missed Jumper.,70,91
5:58,2473,Martez Walker Offensive Rebound.,70,91
5:53,2473,Martez Walker made Layup.,70,93
5:36,2473,Foul on Jalen Hayes.,70,93
5:36,2130,Delundre Dixon missed Free Throw.,70,93
5:36,2473,Jalen Hayes Defensive Rebound.,70,93
5:19,2130,Foul on Glen Burns.,70,93
5:19,2473,Xavier Hill-Mais made Free Throw.,70,94
5:19,2473,Xavier Hill-Mais missed Free Throw.,70,94
5:19,2130,Fred Sims Jr. Defensive Rebound.,70,94
5:06,2130,Trayvon Palmer missed Three Point Jumper.,70,94
5:06,2473,Martez Walker Defensive Rebound.,70,94
4:52,2130,Foul on Trayvon Palmer.,70,94
4:52,2473,Xavier Hill-Mais made Free Throw.,70,95
4:52,2473,Xavier Hill-Mais made Free Throw.,70,96
4:31,2130,Deionte Simmons Turnover.,70,96
4:29,2473,Isaiah Brock Steal.,70,96
4:17,2473,Chris Palombizio made Three Point Jumper. Assisted by Brailen Neely.,70,99
4:00,2130,Fred Sims Jr. missed Jumper.,70,99
4:00,2473,Isaiah Brock Defensive Rebound.,70,99
3:58,2473,Isaiah Brock Turnover.,70,99
3:58,2473,Official TV Timeout,70,99
3:56,2473,Foul on Isaiah Brock.,70,99
3:56,2130,Deionte Simmons missed Free Throw.,70,99
3:56,2130,Chicago St Deadball Team Rebound.,70,99
3:56,2130,Deionte Simmons made Free Throw.,71,99
3:48,2473,Brailen Neely Turnover.,71,99
3:38,2473,Foul on Chris Palombizio.,71,99
3:38,2130,Trayvon Palmer missed Free Throw.,71,99
3:38,2130,Chicago St Deadball Team Rebound.,71,99
3:38,2130,Trayvon Palmer made Free Throw.,72,99
3:29,2473,Chris Palombizio missed Layup.,72,99
3:29,2130,Trayvon Palmer Defensive Rebound.,72,99
